ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film4274],Pastoral: To Die in the Country,104251,/ttWhroijTMTc81SvyqtSYWEbrYV.jpg,1974-12-28,101,"Fantasy,Drama",ja,"Kantarô Suga,Izumi Hara,Yoshio Harada,Masumi Harukawa,Isao Kimura",Shūji Terayama,"Shūji Terayama,Eiko Kujo,Yumi Govaasu",Shūji Terayama,,"Sachiko Yamaji,Hiroshi Asai",Tatsuo Suzuki,J.A. Seazer,Kiyoshi Awazu,,,
[Film4285],Summer of Innocence,,,,,,,,,,,,,,,,,,
[Film42939],Johnny Corncob,,,,,,,,,,,,,,,,,,
[Film4331],White Collar Blues,25606,/7RUzOGm3juTEFLcpk91r5NvhcyN.jpg,1975-03-27,108,Comedy,it,"Paolo Villaggio,Anna Mazzamauro,Gigi Reder,Giuseppe Anatrelli,Umberto D'Orsi",Luciano Salce,Giovanni Bertolucci,,,Amedeo Salfa,Erico Menczer,Fabio Frizzi,,Nedo Azzini,Orietta Nasalli-Rocca,Gianfranco Mecacci
[Film4344],Jubilee,41426,/p0EwPjCt3a9Ii0Y26v2LD3iGy8j.jpg,1978-02-01,106,"Comedy,Drama,Fantasy,Music",en,"Jenny Runacre,Nell Campbell,Toyah Willcox,Pamela Rooke,Ian Charleson",Derek Jarman,"Howard Malin,James Whaley",Derek Jarman,,Nick Barnard,Peter Middleton,,,"Christoffer Hobbs,Mordecai Schreiber",Christopher Hobbs,
[Film4348],The Great Gatsby,11034,/zCjwyhfDTFgunVVzBoEFzafpjbV.jpg,1974-03-27,144,"Drama,Romance",en,"Robert Redford,Mia Farrow,Bruce Dern,Karen Black,Scott Wilson",Jack Clayton,David Merrick,,,Tom Priestley,Douglas Slocombe,,"Robert W. Laing,Gene Rudolf",John Box,Theoni V. Aldredge,"Charles E. Parker,Gary Liddiard"
[Film434],El Topo,13041,/3jVuzt95wjCm6NhwlL3Pong8R3G.jpg,1970-12-18,125,"Action,Adventure,Drama,Western",es,"Alejandro Jodorowsky,Brontis Jodorowsky,José Legarreta,Alfonso Arau,José Luis Fernández",Alejandro Jodorowsky,Mick Gochanour,Alejandro Jodorowsky,,Federico Landeros,Rafael Corkidi,Alejandro Jodorowsky,José Durán,Alejandro Jodorowsky,Alejandro Jodorowsky,
[Film4366],Master of the Flying Guillotine,49636,/upa8qI25kJrrQHgYz66IO2ccvoH.jpg,1976-04-24,93,"Fantasy,Action",zh,"Jimmy Wang Yu,Kam Kong,Doris Lung Chun-Erh,Sham Chin-Bo,Lung Fei",Jimmy Wang Yu,Wong Cheuk-Hon,Jimmy Wang Yu,,Kwok Ting-Hung,,,,Kang-Hsing Chao,Chin Chao,Chao Yu-Chen
[Film4371],F for Fake,337147,/2JyTxlsmRQI6MKVdn0vbzrVoSc1.jpg,1976-01-01,10,Documentary,en,"Joseph Cotten,Elmyr de Hory,Gary Graver,Howard Hughes,Clifford Irving",Orson Welles,Orson Welles,"Orson Welles,Oja Kodar",,Gary Graver,"Gary Graver,R. Michael Stringer,Christian Odasso",,,,,
[Film4372],The Mephisto Waltz,,,,,,,,,,,,,,,,,,
